fold,subject,split
2,30,outer_val
2,47,outer_val
2,60,outer_val
2,72,outer_val
2,73,outer_val
2,79,outer_val
2,83,outer_val
2,99,outer_val
2,102,outer_val
2,104,outer_val
2,133,outer_val
2,135,outer_val
2,162,outer_val
2,175,outer_val
3,22,fit
3,160,fit
3,30,fit
3,17,fit
3,80,fit
3,54,fit
3,159,fit
3,113,fit
3,98,fit
3,2,fit
3,115,fit
3,91,fit
3,38,fit
3,175,fit
3,10,fit
3,141,fit
3,149,fit
3,51,fit
3,40,fit
3,94,fit
3,100,fit
3,111,fit
3,129,fit
3,169,fit
3,0,fit
3,28,fit
3,39,fit
3,13,fit
3,155,fit
3,63,fit
3,158,fit
3,89,fit
3,162,fit
3,56,fit
3,163,fit
3,3,fit
3,173,fit
3,79,fit
3,7,fit
3,168,fit
3,146,fit
3,114,fit
3,174,fit
3,67,fit
3,120,fit
3,108,fit
3,65,fit
3,110,fit
3,107,fit
3,112,fit
3,71,fit
3,148,fit
3,136,fit
3,165,fit
3,102,fit
3,147,fit
3,27,fit
3,134,fit
3,23,fit
3,127,fit
3,105,fit
3,153,fit
3,33,fit
3,82,fit
3,123,fit
3,140,fit
3,109,fit
3,106,fit
3,25,fit
3,61,fit
3,171,fit
3,77,fit
3,144,fit
3,85,fit
3,138,fit
3,12,fit
3,84,fit
3,4,fit
3,142,fit
3,58,fit
3,9,fit
3,176,fit
3,83,fit
3,62,fit
3,145,fit
3,135,fit
3,59,fit
3,64,fit
3,41,fit
3,45,fit
3,132,fit
3,137,fit
3,95,fit
3,32,fit
3,78,fit
3,11,fit
3,170,fit
3,73,fit
3,21,fit
3,166,fit
3,29,fit
3,157,fit
3,55,fit
3,47,fit
3,8,fit
3,52,fit
3,86,fit
3,44,fit
3,124,fit
3,16,fit
3,68,fit
3,19,fit
3,24,fit
3,31,fit
3,37,fit
3,69,fit
3,53,fit
3,66,fit
3,87,fit
3,57,fit
3,116,fit
3,75,fit
3,74,fit
3,104,fit
3,133,fit
3,76,fit
3,72,fit
3,139,fit
3,126,fit
3,131,fit
3,152,fit
3,88,fit
3,103,fit
3,20,fit
3,122,fit
3,99,inner_val
3,43,inner_val
3,90,inner_val
3,60,inner_val
3,150,inner_val
3,46,inner_val
3,96,inner_val
3,48,inner_val
3,26,inner_val
3,49,inner_val
3,15,inner_val
3,154,inner_val
3,6,inner_val
3,121,inner_val
3,34,inner_val
3,81,inner_val
3,156,inner_val
3,130,inner_val
3,117,inner_val
3,143,inner_val
3,151,inner_val
3,70,inner_val
3,125,inner_val
3,161,inner_val
3,1,outer_val
3,5,outer_val
3,14,outer_val
3,18,outer_val
3,35,outer_val
3,36,outer_val
3,42,outer_val
3,50,outer_val
3,92,outer_val
3,93,outer_val
3,97,outer_val
3,101,outer_val
3,118,outer_val
3,119,outer_val
3,128,outer_val
3,164,outer_val
3,167,outer_val
3,172,outer_val
4,73,fit
4,166,fit
4,170,fit
4,69,fit
4,176,fit
4,158,fit
4,148,fit
4,116,fit
4,85,fit
4,83,fit
4,95,fit
4,72,fit
4,75,fit
4,135,fit
4,36,fit
4,157,fit
4,66,fit
4,51,fit
4,79,fit
4,54,fit
4,45,fit
4,103,fit
4,28,fit
4,88,fit
4,121,fit
4,49,fit
4,53,fit
4,19,fit
4,140,fit
4,38,fit
4,161,fit
4,149,fit
4,13,fit
4,41,fit
4,122,fit
4,114,fit
4,173,fit
4,33,fit
4,168,fit
4,102,fit
4,138,fit
4,14,fit
4,20,fit
4,130,fit
4,26,fit
4,154,fit
4,113,fit
4,24,fit
4,42,fit
4,111,fit
4,89,fit
4,21,fit
4,35,fit
4,107,fit
4,82,fit
4,90,fit
4,57,fit
4,10,fit
4,98,fit
4,139,fit
4,76,fit
4,96,fit
4,137,fit
4,7,fit
4,162,fit
4,108,fit
4,151,fit
4,2,fit
4,25,fit
4,3,fit
4,147,fit
4,34,fit
4,109,fit
4,39,fit
4,86,fit
4,9,fit
4,62,fit
4,29,fit
4,40,fit
4,115,fit
4,44,fit
4,174,fit
4,0,fit
4,123,fit
4,70,fit
4,43,fit
4,60,fit
4,63,fit
4,80,fit
4,94,fit
4,134,fit
4,1,fit
4,112,fit
4,117,fit
4,169,fit
4,131,fit
4,15,fit
4,165,fit
4,99,fit
4,78,fit
4,118,fit
4,160,fit
4,48,fit
4,18,fit
4,100,fit
4,125,fit
4,143,fit
4,124,fit
4,6,fit
4,84,fit
4,74,fit
4,22,fit
4,144,fit
4,106,fit
4,5,fit
4,172,fit
4,97,fit
4,152,fit
4,27,fit
4,126,fit
4,93,fit
4,46,fit
4,12,fit
4,52,fit
4,129,fit
4,175,fit
4,81,fit
4,128,fit
4,92,fit
4,47,fit
4,150,fit
4,17,fit
4,50,fit
4,105,fit
4,145,fit
4,65,inner_val
4,16,inner_val
4,67,inner_val
4,164,inner_val
4,77,inner_val
4,30,inner_val
4,110,inner_val
4,171,inner_val
4,127,inner_val
4,156,inner_val
4,163,inner_val
4,4,inner_val
4,120,inner_val
4,119,inner_val
4,31,inner_val
4,141,inner_val
4,104,inner_val
4,8,inner_val
4,55,inner_val
4,133,inner_val
4,167,inner_val
4,61,inner_val
4,101,inner_val
4,136,inner_val
4,11,outer_val
4,23,outer_val
4,32,outer_val
4,37,outer_val
4,56,outer_val
4,58,outer_val
4,59,outer_val
4,64,outer_val
4,68,outer_val
4,71,outer_val
4,87,outer_val
4,91,outer_val
4,132,outer_val
4,142,outer_val
4,146,outer_val
4,153,outer_val
4,155,outer_val
4,159,outer_val
5,90,fit
5,115,fit
5,110,fit
5,94,fit
5,147,fit
5,99,fit
5,71,fit
5,120,fit
5,100,fit
5,36,fit
5,50,fit
5,114,fit
5,49,fit
5,104,fit
5,28,fit
5,144,fit
5,31,fit
5,58,fit
5,85,fit
5,140,fit
5,128,fit
5,10,fit
5,12,fit
5,97,fit
5,93,fit
5,35,fit
5,123,fit
5,152,fit
5,101,fit
5,76,fit
5,139,fit
5,46,fit
5,53,fit
5,25,fit
5,166,fit
5,112,fit
5,70,fit
5,65,fit
5,82,fit
5,149,fit
5,157,fit
5,62,fit
5,164,fit
5,73,fit
5,173,fit
5,38,fit
5,135,fit
5,126,fit
5,108,fit
5,44,fit
5,17,fit
5,41,fit
5,48,fit
5,170,fit
5,95,fit
5,11,fit
5,92,fit
5,23,fit
5,30,fit
5,145,fit
5,91,fit
5,59,fit
5,146,fit
5,16,fit
5,138,fit
5,142,fit
5,165,fit
5,129,fit
5,27,fit
5,7,fit
5,109,fit
5,88,fit
5,6,fit
5,102,fit
5,5,fit
5,47,fit
5,68,fit
5,162,fit
5,105,fit
5,45,fit
5,133,fit
5,117,fit
5,24,fit
5,79,fit
5,81,fit
5,156,fit
5,118,fit
5,64,fit
5,161,fit
5,69,fit
5,72,fit
5,1,fit
5,151,fit
5,26,fit
5,3,fit
5,67,fit
5,141,fit
5,159,fit
5,167,fit
5,169,fit
5,103,fit
5,98,fit
5,163,fit
5,42,fit
5,168,fit
5,77,fit
5,176,fit
5,14,fit
5,21,fit
5,8,fit
5,32,fit
5,134,fit
5,33,fit
5,143,fit
5,87,fit
5,54,fit
5,52,fit
5,22,fit
5,56,fit
5,84,fit
5,175,fit
5,132,fit
5,34,fit
5,119,fit
5,18,fit
5,43,fit
5,160,fit
5,148,fit
5,29,fit
5,13,fit
5,66,fit
5,174,fit
5,78,fit
5,107,fit
5,171,fit
5,131,inner_val
5,89,inner_val
5,61,inner_val
5,40,inner_val
5,57,inner_val
5,130,inner_val
5,4,inner_val
5,19,inner_val
5,63,inner_val
5,116,inner_val
5,75,inner_val
5,153,inner_val
5,136,inner_val
5,127,inner_val
5,83,inner_val
5,51,inner_val
5,96,inner_val
5,158,inner_val
5,111,inner_val
5,39,inner_val
5,37,inner_val
5,60,inner_val
5,172,inner_val
5,155,inner_val
5,0,outer_val
5,2,outer_val
5,9,outer_val
5,15,outer_val
5,20,outer_val
5,55,outer_val
5,74,outer_val
5,80,outer_val
5,86,outer_val
5,106,outer_val
5,113,outer_val
5,121,outer_val
5,122,outer_val
5,124,outer_val
5,125,outer_val
5,137,outer_val
5,150,outer_val
5,154,outer_val
6,46,fit
6,167,fit
6,175,fit
6,45,fit
6,90,fit
6,125,fit
6,147,fit
6,1,fit
6,96,fit
6,33,fit
6,102,fit
6,28,fit
6,119,fit
6,149,fit
6,136,fit
6,108,fit
6,61,fit
6,103,fit
6,76,fit
6,43,fit
6,39,fit
6,111,fit
6,99,fit
6,9,fit
6,54,fit
6,63,fit
6,87,fit
6,116,fit
6,5,fit
6,146,fit
6,93,fit
6,135,fit
6,131,fit
6,42,fit
6,152,fit
6,106,fit
6,60,fit
6,138,fit
6,22,fit
6,132,fit
6,86,fit
6,47,fit
6,11,fit
6,82,fit
6,72,fit
6,35,fit
6,133,fit
6,172,fit
6,118,fit
6,32,fit
6,151,fit
6,83,fit
6,162,fit
6,34,fit
6,52,fit
6,71,fit
6,163,fit
6,166,fit
6,141,fit
6,58,fit
6,127,fit
6,140,fit
6,85,fit
6,55,fit
6,67,fit
6,113,fit
6,79,fit
6,0,fit
6,56,fit
6,112,fit
6,150,fit
6,77,fit
6,153,fit
6,20,fit
6,27,fit
6,29,fit
6,148,fit
6,89,fit
6,164,fit
6,169,fit
6,95,fit
6,8,fit
6,14,fit
6,53,fit
6,7,fit
6,124,fit
6,15,fit
6,139,fit
6,129,fit
6,44,fit
6,40,fit
6,65,fit
6,30,fit
6,91,fit
6,104,fit
6,16,fit
6,97,fit
6,145,fit
6,101,fit
6,142,fit
6,155,fit
6,154,fit
6,13,fit
6,114,fit
6,92,fit
6,62,fit
6,100,fit
6,144,fit
6,19,fit
6,10,fit
6,66,fit
6,161,fit
6,122,fit
6,117,fit
6,78,fit
6,41,fit
6,24,fit
6,74,fit
6,88,fit
6,21,fit
6,156,fit
6,109,fit
6,137,fit
6,23,fit
6,107,fit
6,2,fit
6,171,fit
6,64,fit
6,4,fit
6,157,fit
6,165,fit
6,50,fit
6,174,fit
6,49,fit
6,36,fit
6,94,inner_val
6,128,inner_val
6,134,inner_val
6,170,inner_val
6,59,inner_val
6,68,inner_val
6,48,inner_val
6,160,inner_val
6,121,inner_val
6,80,inner_val
6,73,inner_val
6,37,inner_val
6,173,inner_val
6,110,inner_val
6,69,inner_val
6,120,inner_val
6,17,inner_val
6,26,inner_val
6,168,inner_val
6,115,inner_val
6,12,inner_val
6,18,inner_val
6,159,inner_val
6,25,inner_val
6,3,outer_val
6,6,outer_val
6,31,outer_val
6,38,outer_val
6,51,outer_val
6,57,outer_val
6,70,outer_val
6,75,outer_val
6,81,outer_val
6,84,outer_val
6,98,outer_val
6,105,outer_val
6,123,outer_val
6,126,outer_val
6,130,outer_val
6,143,outer_val
6,158,outer_val
6,176,outer_val
7,102,fit
7,109,fit
7,101,fit
7,41,fit
7,70,fit
7,81,fit
7,13,fit
7,7,fit
7,158,fit
7,15,fit
7,85,fit
7,44,fit
7,82,fit
7,10,fit
7,40,fit
7,162,fit
7,126,fit
7,22,fit
7,113,fit
7,131,fit
7,118,fit
7,80,fit
7,67,fit
7,96,fit
7,71,fit
7,174,fit
7,121,fit
7,151,fit
7,3,fit
7,149,fit
7,130,fit
7,39,fit
7,14,fit
7,112,fit
7,0,fit
7,142,fit
7,94,fit
7,169,fit
7,146,fit
7,16,fit
7,38,fit
7,133,fit
7,144,fit
7,69,fit
7,58,fit
7,176,fit
7,77,fit
7,156,fit
7,116,fit
7,6,fit
7,65,fit
7,2,fit
7,125,fit
7,5,fit
7,89,fit
7,79,fit
7,76,fit
7,21,fit
7,73,fit
7,49,fit
7,29,fit
7,47,fit
7,72,fit
7,86,fit
7,45,fit
7,143,fit
7,32,fit
7,167,fit
7,28,fit
7,55,fit
7,42,fit
7,12,fit
7,74,fit
7,68,fit
7,19,fit
7,132,fit
7,84,fit
7,97,fit
7,37,fit
7,119,fit
7,34,fit
7,128,fit
7,154,fit
7,50,fit
7,52,fit
7,141,fit
7,66,fit
7,175,fit
7,48,fit
7,99,fit
7,46,fit
7,92,fit
7,27,fit
7,160,fit
7,51,fit
7,170,fit
7,87,fit
7,26,fit
7,91,fit
7,98,fit
7,157,fit
7,164,fit
7,61,fit
7,104,fit
7,35,fit
7,18,fit
7,171,fit
7,114,fit
7,124,fit
7,107,fit
7,103,fit
7,140,fit
7,20,fit
7,117,fit
7,23,fit
7,152,fit
7,161,fit
7,147,fit
7,166,fit
7,31,fit
7,63,fit
7,105,fit
7,53,fit
7,33,fit
7,11,fit
7,4,fit
7,122,fit
7,30,fit
7,115,fit
7,168,fit
7,57,fit
7,165,fit
7,75,fit
7,135,fit
7,60,fit
7,9,inner_val
7,1,inner_val
7,111,inner_val
7,59,inner_val
7,136,inner_val
7,155,inner_val
7,150,inner_val
7,108,inner_val
7,137,inner_val
7,100,inner_val
7,83,inner_val
7,36,inner_val
7,64,inner_val
7,134,inner_val
7,56,inner_val
7,88,inner_val
7,159,inner_val
7,123,inner_val
7,106,inner_val
7,153,inner_val
7,54,inner_val
7,138,inner_val
7,172,inner_val
7,93,inner_val
7,8,outer_val
7,17,outer_val
7,24,outer_val
7,25,outer_val
7,43,outer_val
7,62,outer_val
7,78,outer_val
7,90,outer_val
7,95,outer_val
7,110,outer_val
7,120,outer_val
7,127,outer_val
7,129,outer_val
7,139,outer_val
7,145,outer_val
7,148,outer_val
7,163,outer_val
7,173,outer_val
8,100,fit
8,50,fit
8,176,fit
8,57,fit
8,175,fit
8,148,fit
8,130,fit
8,114,fit
8,153,fit
8,77,fit
8,15,fit
8,35,fit
8,138,fit
8,80,fit
8,169,fit
8,18,fit
8,107,fit
8,160,fit
8,143,fit
8,20,fit
8,17,fit
8,3,fit
8,29,fit
8,12,fit
8,141,fit
8,139,fit
8,43,fit
8,126,fit
8,140,fit
8,109,fit
8,88,fit
8,38,fit
8,111,fit
8,97,fit
8,150,fit
8,60,fit
8,48,fit
8,144,fit
8,14,fit
8,128,fit
8,41,fit
8,36,fit
8,78,fit
8,129,fit
8,162,fit
8,55,fit
8,99,fit
8,70,fit
8,170,fit
8,21,fit
8,89,fit
8,158,fit
8,132,fit
8,116,fit
8,167,fit
8,121,fit
8,66,fit
8,136,fit
8,37,fit
8,83,fit
8,0,fit
8,154,fit
8,125,fit
8,146,fit
8,135,fit
8,124,fit
8,122,fit
8,44,fit
8,5,fit
8,2,fit
8,59,fit
8,53,fit
8,6,fit
8,90,fit
8,172,fit
8,142,fit
8,96,fit
8,22,fit
8,62,fit
8,71,fit
8,23,fit
8,171,fit
8,42,fit
8,156,fit
8,157,fit
8,82,fit
8,131,fit
8,133,fit
8,30,fit
8,74,fit
8,101,fit
8,84,fit
8,155,fit
8,163,fit
8,110,fit
8,34,fit
8,95,fit
8,98,fit
8,92,fit
8,104,fit
8,9,fit
8,11,fit
8,4,fit
8,13,fit
8,68,fit
8,47,fit
8,31,fit
8,145,fit
8,117,fit
8,32,fit
8,166,fit
8,58,fit
8,168,fit
8,127,fit
8,52,fit
8,1,fit
8,102,fit
8,56,fit
8,64,fit
8,19,fit
8,165,fit
8,152,fit
8,81,fit
8,134,fit
8,49,fit
8,93,fit
8,33,fit
8,25,fit
8,8,fit
8,40,fit
8,118,fit
8,75,fit
8,159,fit
8,115,fit
8,123,fit
8,69,fit
8,103,inner_val
8,164,inner_val
8,113,inner_val
8,91,inner_val
8,72,inner_val
8,94,inner_val
8,73,inner_val
8,79,inner_val
8,147,inner_val
8,105,inner_val
8,87,inner_val
8,151,inner_val
8,26,inner_val
8,86,inner_val
8,51,inner_val
8,120,inner_val
8,161,inner_val
8,39,inner_val
8,137,inner_val
8,106,inner_val
8,7,inner_val
8,119,inner_val
8,173,inner_val
8,24,inner_val
8,10,outer_val
8,16,outer_val
8,27,outer_val
8,28,outer_val
8,45,outer_val
8,46,outer_val
8,54,outer_val
8,61,outer_val
8,63,outer_val
8,65,outer_val
8,67,outer_val
8,76,outer_val
8,85,outer_val
8,108,outer_val
8,112,outer_val
8,149,outer_val
8,174,outer_val
9,112,fit
9,132,fit
9,9,fit
9,75,fit
9,48,fit
9,164,fit
9,169,fit
9,72,fit
9,42,fit
9,71,fit
9,116,fit
9,115,fit
9,55,fit
9,156,fit
9,36,fit
9,26,fit
9,60,fit
9,84,fit
9,123,fit
9,172,fit
9,87,fit
9,101,fit
9,91,fit
9,159,fit
9,28,fit
9,13,fit
9,83,fit
9,147,fit
9,12,fit
9,35,fit
9,92,fit
9,27,fit
9,148,fit
9,20,fit
9,17,fit
9,63,fit
9,70,fit
9,111,fit
9,119,fit
9,74,fit
9,1,fit
9,155,fit
9,85,fit
9,133,fit
9,109,fit
9,30,fit
9,2,fit
9,157,fit
9,58,fit
9,154,fit
9,41,fit
9,19,fit
9,54,fit
9,61,fit
9,77,fit
9,98,fit
9,23,fit
9,46,fit
9,49,fit
9,163,fit
9,117,fit
9,127,fit
9,66,fit
9,121,fit
9,10,fit
9,57,fit
9,149,fit
9,4,fit
9,137,fit
9,86,fit
9,158,fit
9,126,fit
9,33,fit
9,142,fit
9,122,fit
9,0,fit
9,141,fit
9,175,fit
9,97,fit
9,165,fit
9,62,fit
9,50,fit
9,59,fit
9,134,fit
9,29,fit
9,45,fit
9,93,fit
9,120,fit
9,38,fit
9,139,fit
9,124,fit
9,102,fit
9,79,fit
9,171,fit
9,96,fit
9,110,fit
9,32,fit
9,18,fit
9,68,fit
9,176,fit
9,65,fit
9,43,fit
9,82,fit
9,128,fit
9,168,fit
9,56,fit
9,90,fit
9,100,fit
9,78,fit
9,130,fit
9,11,fit
9,15,fit
9,99,fit
9,129,fit
9,125,fit
9,5,fit
9,151,fit
9,173,fit
9,118,fit
9,25,fit
9,143,fit
9,37,fit
9,146,fit
9,31,fit
9,167,fit
9,174,fit
9,16,fit
9,107,fit
9,162,fit
9,105,fit
9,166,fit
9,21,fit
9,108,fit
9,8,fit
9,106,fit
9,160,fit
9,7,inner_val
9,103,inner_val
9,67,inner_val
9,113,inner_val
9,150,inner_val
9,135,inner_val
9,3,inner_val
9,64,inner_val
9,6,inner_val
9,81,inner_val
9,80,inner_val
9,95,inner_val
9,51,inner_val
9,161,inner_val
9,153,inner_val
9,145,inner_val
9,34,inner_val
9,76,inner_val
9,73,inner_val
9,104,inner_val
9,24,inner_val
9,47,inner_val
9,88,inner_val
9,14,inner_val
9,22,outer_val
9,39,outer_val
9,40,outer_val
9,44,outer_val
9,52,outer_val
9,53,outer_val
9,69,outer_val
9,89,outer_val
9,94,outer_val
9,114,outer_val
9,131,outer_val
9,136,outer_val
9,138,outer_val
9,140,outer_val
9,144,outer_val
9,152,outer_val
9,170,outer_val
10,59,fit
10,108,fit
10,44,fit
10,80,fit
10,124,fit
10,123,fit
10,18,fit
10,144,fit
10,166,fit
10,121,fit
10,173,fit
10,9,fit
10,101,fit
10,45,fit
10,133,fit
10,106,fit
10,78,fit
10,30,fit
10,93,fit
10,170,fit
10,46,fit
10,120,fit
10,90,fit
10,127,fit
10,28,fit
10,40,fit
10,146,fit
10,62,fit
10,39,fit
10,20,fit
10,163,fit
10,76,fit
10,6,fit
10,64,fit
10,83,fit
10,71,fit
10,105,fit
10,53,fit
10,145,fit
10,172,fit
10,2,fit
10,5,fit
10,79,fit
10,35,fit
10,36,fit
10,131,fit
10,34,fit
10,11,fit
10,176,fit
10,25,fit
10,140,fit
10,126,fit
10,84,fit
10,63,fit
10,104,fit
10,164,fit
10,47,fit
10,82,fit
10,10,fit
10,135,fit
10,112,fit
10,162,fit
10,95,fit
10,159,fit
10,75,fit
10,143,fit
10,87,fit
10,150,fit
10,73,fit
10,167,fit
10,138,fit
10,86,fit
10,81,fit
10,23,fit
10,174,fit
10,110,fit
10,148,fit
10,27,fit
10,48,fit
10,13,fit
10,165,fit
10,88,fit
10,130,fit
10,137,fit
10,15,fit
10,31,fit
10,41,fit
10,51,fit
10,154,fit
10,114,fit
10,111,fit
10,8,fit
10,16,fit
10,37,fit
10,132,fit
10,68,fit
10,107,fit
10,43,fit
10,142,fit
10,58,fit
10,69,fit
10,175,fit
10,168,fit
10,94,fit
10,156,fit
10,65,fit
10,98,fit
10,22,fit
10,113,fit
10,99,fit
10,100,fit
10,89,fit
10,50,fit
10,129,fit
10,19,fit
10,57,fit
10,7,fit
10,3,fit
10,12,fit
10,128,fit
10,38,fit
10,152,fit
10,56,fit
10,118,fit
10,1,fit
10,60,fit
10,55,fit
10,139,fit
10,103,fit
10,17,fit
10,74,fit
10,24,fit
10,85,fit
10,72,fit
10,61,fit
10,136,fit
10,52,inner_val
10,158,inner_val
10,42,inner_val
10,77,inner_val
10,0,inner_val
10,155,inner_val
10,54,inner_val
10,153,inner_val
10,66,inner_val
10,102,inner_val
10,92,inner_val
10,125,inner_val
10,141,inner_val
10,32,inner_val
10,151,inner_val
10,119,inner_val
10,149,inner_val
10,122,inner_val
10,70,inner_val
10,97,inner_val
10,29,inner_val
10,14,inner_val
10,91,inner_val
10,67,inner_val
10,4,outer_val
10,21,outer_val
10,26,outer_val
10,33,outer_val
10,49,outer_val
10,96,outer_val
10,109,outer_val
10,115,outer_val
10,116,outer_val
10,117,outer_val
10,134,outer_val
10,147,outer_val
10,157,outer_val
10,160,outer_val
10,161,outer_val
10,169,outer_val
10,171,outer_val
11,103,fit
11,74,fit
11,10,fit
11,65,fit
11,115,fit
11,114,fit
11,2,fit
11,3,fit
11,58,fit
11,110,fit
11,62,fit
11,31,fit
11,49,fit
11,89,fit
11,161,fit
11,82,fit
11,132,fit
11,19,fit
11,100,fit
11,8,fit
11,26,fit
11,73,fit
11,175,fit
11,97,fit
11,102,fit
11,134,fit
11,68,fit
11,86,fit
11,138,fit
11,116,fit
11,42,fit
11,18,fit
11,98,fit
11,6,fit
11,160,fit
11,40,fit
11,23,fit
11,25,fit
11,154,fit
11,149,fit
11,53,fit
11,157,fit
11,162,fit
11,142,fit
11,45,fit
11,119,fit
11,85,fit
11,36,fit
11,164,fit
11,139,fit
11,90,fit
11,57,fit
11,63,fit
11,12,fit
11,107,fit
11,60,fit
11,133,fit
11,170,fit
11,152,fit
11,121,fit
11,78,fit
11,59,fit
11,117,fit
11,1,fit
11,14,fit
11,148,fit
11,96,fit
11,52,fit
11,11,fit
11,101,fit
11,131,fit
11,92,fit
11,75,fit
11,95,fit
11,111,fit
11,141,fit
11,123,fit
11,99,fit
11,48,fit
11,71,fit
11,34,fit
11,16,fit
11,77,fit
11,140,fit
11,176,fit
11,46,fit
11,93,fit
11,29,fit
11,146,fit
11,122,fit
11,22,fit
11,124,fit
11,144,fit
11,50,fit
11,27,fit
11,143,fit
11,9,fit
11,87,fit
11,38,fit
11,94,fit
11,150,fit
11,118,fit
11,84,fit
11,136,fit
11,0,fit
11,39,fit
11,108,fit
11,128,fit
